Grão 252 | Harmônicos: 170 | R²: 0.9990
Grão 253 | Harmônicos: 178 | R²: 0.9994
Grão 254 | Harmônicos: 169 | R²: 0.9991
Grão 255 | Harmônicos: 179 | R²: 0.9995
Grão 256 | Harmônicos: 71 | R²: 0.9990
Grão 258 | Harmônicos: 106 | R²: 0.9990
Grão 259 | Harmônicos: 173 | R²: 0.9991
Grão 260 | Harmônicos: 154 | R²: 0.9991
Grão 261 | Harmônicos: 89 | R²: 0.9990
Grão 262 | Harmônicos: 150 | R²: 0.9991
Grão 263 | Harmônicos: 99 | R²: 0.9990
Grão 264 | Harmônicos: 117 | R²: 0.9991
Grão 265 | Harmônicos: 59 | R²: 0.9990
Grão 266 | Harmônicos: 147 | R²: 0.9990
Grão 267 | Harmônicos: 176 | R²: 0.9992
Grão 268 | Harmônicos: 47 | R²: 0.9990
Grão 270 | Harmônicos: 178 | R²: 0.9992
Grão 274 | Harmônicos: 174 | R²: 0.9992
Grão 275 | Harmônicos: 57 | R²: 0.9990
Grão 276 | Harmônicos: 155 | R²: 0.9991
Grão 277 | Harmônicos: 178 | R²: 0.9993
Grão 278 | Harmônicos: 162 | R²: 0.9990
Grão 279 | Harmônicos: 135 | R²: 0.9990
Grão 280 | Harmônicos: 148 | R²: 0.9990
Grão 281 | Harmônicos: 170 | R²: 0.9992
Grão 282 | Harmônicos: 37 | R²: 0.9991
Grão 283 | Harmônicos: 154 | R²: 0.9990
Grão 284 | Harmônicos: 147 | R²: 0.9990
Grão 285 | Harmônicos: 141 | R²: 0.9990
Grão 286 | Harmônicos: 166 | R²: 0.9990
Grão 287 | Harmônicos: 53 | R²: 0.9990
Grão 288 | Harmônicos: 148 | R²: 0.9990
Grão 289 | Harmônicos: 127 | R²: 0.9990
Grão 290 | Harmônicos: 122 | R²: 0.9990
Grão 292 | Harmônicos: 52 | R²: 0.9990
Grão 293 | Harmônicos: 179 | R²: 0.9995
Grão 294 | Harmônicos: 162 | R²: 0.9990
Grão 296 | Harmônicos: 57 | R²: 0.9990
Grão 297 | Harmônicos: 179 | R²: 0.9990
Grão 298 | Harmônicos: 176 | R²: 0.9992
Grão 299 | Harmônicos: 34 | R²: 0.9991
Grão 301 | Harmônicos: 35 | R²: 0.9990
Grão 302 | Harmônicos: 48 | R²: 0.9990
Grão 303 | Harmônicos: 57 | R²: 0.9990
Grão 304 | Harmônicos: 32 | R²: 0.9991
Grão 305 | Harmônicos: 178 | R²: 0.9993
Grão 307 | Harmônicos: 52 | R²: 0.9990
Grão 308 | Harmônicos: 9 | R²: 0.9853
Grão 309 | Harmônicos: 53 | R²: 0.9990
Grão 310 | Harmônicos: 167 | R²: 0.9990
Grão 311 | Harmônicos: 95 | R²: 0.9990
Grão 312 | Harmônicos: 160 | R²: 0.9991
Grão 313 | Harmônicos: 176 | R²: 0.9992
Grão 314 | Harmônicos: 143 | R²: 0.9991
Grão 315 | Harmônicos: 172 | R²: 0.9990
Grão 316 | Harmônicos: 161 | R²: 0.9991
Grão 317 | Harmônicos: 156 | R²: 0.9990
Grão 318 | Harmônicos: 160 | R²: 0.9990
Grão 319 | Harmônicos: 171 | R²: 0.9990
Grão 320 | Harmônicos: 117 | R²: 0.9881
Grão 321 | Harmônicos: 170 | R²: 0.9990
Grão 322 | Harmônicos: 83 | R²: 0.9990
Grão 323 | Harmônicos: 25 | R²: 0.9990
Grão 324 | Harmônicos: 61 | R²: 0.9990
Grão 325 | Harmônicos: 42 | R²: 0.9990
Grão 327 | Harmônicos: 45 | R²: 0.9990
Grão 329 | Harmônicos: 152 | R²: 0.9990
Grão 330 | Harmônicos: 64 | R²: 0.9387
Grão 332 | Harmônicos: 25 | R²: 0.9992
Grão 333 | Harmônicos: 83 | R²: 0.9990
Grão 334 | Harmônicos: 173 | R²: 0.9992
Grão 335 | Harmônicos: 35 | R²: 0.9990
Grão 336 | Harmônicos: 176 | R²: 0.9990
Grão 337 | Harmônicos: 114 | R²: 0.9990
Grão 338 | Harmônicos: 31 | R²: 0.9991
Grão 339 | Harmônicos: 51 | R²: 0.9990
Grão 340 | Harmônicos: 176 | R²: 0.9991
Grão 341 | Harmônicos: 123 | R²: 0.9990
Grão 342 | Harmônicos: 90 | R²: 0.9990
Grão 343 | Harmônicos: 39 | R²: 0.9990
Grão 344 | Harmônicos: 85 | R²: 0.9990
Grão 345 | Harmônicos: 42 | R²: 0.9990
Grão 346 | Harmônicos: 36 | R²: 0.9990
Grão 348 | Harmônicos: 131 | R²: 0.9990
Grão 349 | Harmônicos: 160 | R²: 0.9991
Grão 350 | Harmônicos: 48 | R²: 0.9990
Grão 351 | Harmônicos: 160 | R²: 0.9991
Grão 352 | Harmônicos: 36 | R²: 0.7062
Grão 353 | Harmônicos: 31 | R²: 0.9990
Grão 354 | Harmônicos: 175 | R²: 0.9992
Grão 355 | Harmônicos: 79 | R²: 0.9990
Grão 356 | Harmônicos: 80 | R²: 0.9990
Grão 357 | Harmônicos: 170 | R²: 0.9991
Grão 358 | Harmônicos: 41 | R²: 0.9990
Grão 359 | Harmônicos: 50 | R²: 0.9946
Grão 360 | Harmônicos: 157 | R²: 0.9990
Grão 361 | Harmônicos: 38 | R²: 0.9992
Grão 362 | Harmônicos: 74 | R²: 0.9991
Grão 363 | Harmônicos: 171 | R²: 0.9990
Grão 364 | Harmônicos: 160 | R²: 0.9990
Grão 365 | Harmônicos: 44 | R²: 0.8101
Grão 367 | Harmônicos: 30 | R²: 0.9991
Grão 370 | Harmônicos: 120 | R²: 0.9990
Grão 371 | Harmônicos: 110 | R²: 0.9990
Grão 372 | Harmônicos: 170 | R²: 0.9992
Grão 373 | Harmônicos: 39 | R²: 0.9990
Grão 374 | Harmônicos: 39 | R²: 0.9990
Grão 375 | Harmônicos: 141 | R²: 0.9990
Grão 376 | Harmônicos: 66 | R²: 0.9990
Grão 377 | Harmônicos: 26 | R²: 0.9991
Grão 378 | Harmônicos: 178 | R²: 0.9992
Grão 379 | Harmônicos: 108 | R²: 0.9991
Grão 380 | Harmônicos: 118 | R²: 0.9990
Grão 381 | Harmônicos: 37 | R²: 0.9990
Grão 382 | Harmônicos: 174 | R²: 0.9991
Grão 383 | Harmônicos: 67 | R²: 0.9990
Grão 384 | Harmônicos: 134 | R²: 0.9990
Grão 385 | Harmônicos: 154 | R²: 0.9990
Grão 386 | Harmônicos: 124 | R²: 0.9990
Grão 387 | Harmônicos: 125 | R²: 0.9990
Grão 389 | Harmônicos: 97 | R²: 0.9990
Grão 390 | Harmônicos: 152 | R²: 0.9990
Grão 391 | Harmônicos: 102 | R²: 0.9990
Grão 392 | Harmônicos: 66 | R²: 0.9990
Grão 393 | Harmônicos: 169 | R²: 0.9990
Grão 394 | Harmônicos: 162 | R²: 0.9991
Grão 395 | Harmônicos: 55 | R²: 0.9990
Grão 396 | Harmônicos: 104 | R²: 0.9990
Grão 397 | Harmônicos: 160 | R²: 0.9990
Grão 398 | Harmônicos: 177 | R²: 0.9991
Grão 399 | Harmônicos: 161 | R²: 0.9990
Grão 400 | Harmônicos: 109 | R²: 0.9990
Grão 401 | Harmônicos: 179 | R²: 0.9994
Grão 402 | Harmônicos: 179 | R²: 0.9996
Grão 403 | Harmônicos: 132 | R²: 0.9990
Grão 404 | Harmônicos: 90 | R²: 0.9990
Grão 406 | Harmônicos: 39 | R²: 0.9984
Grão 408 | Harmônicos: 173 | R²: 0.9990
Grão 409 | Harmônicos: 7 | R²: 0.9562
Grão 410 | Harmônicos: 45 | R²: 0.9990
Grão 411 | Harmônicos: 132 | R²: 0.9991
Grão 412 | Harmônicos: 177 | R²: 0.9990
Grão 416 | Harmônicos: 167 | R²: 0.9990
Grão 417 | Harmônicos: 165 | R²: 0.9990
Grão 418 | Harmônicos: 122 | R²: 0.9990
Grão 420 | Harmônicos: 70 | R²: 0.9967
Grão 421 | Harmônicos: 92 | R²: 0.9990
