label,area,perimeter,eccentricity,solidity,extent,major_axis_length,minor_axis_length,equivalent_diameter,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,circularity
307,634,"103,254833995939","0,49280059262802","0,892957746478873","0,707589285714286","31,284565402712","27,2220228609075","28,411861455422","268,829652996845","499,528391167192",254,486,286,514,"0,747271357464184"
308,303,"102,539105243401","0,665828787296655","0,674832962138085","0,415637860082305","26,7878791794689","19,9865590159511","19,6415778911663","273,73597359736","128,204620462046",263,114,290,141,"0,362137455355529"
309,321,"67,0121933088197","0,498587279132328","0,958208955223881","0,664596273291926","22,0684104692915","19,1297699775354","20,2165747311454","271,98753894081","267,345794392523",261,257,282,280,"0,898270694170702"
310,251,"85,1837661840736","0,934869051662139","0,703081232492997","0,597619047619048","34,5000164088547","12,247255879417","17,8768880325555","271,96015936255","15,6135458167331",266,0,280,30,"0,434680252557193"
311,602,"105,296464556282","0,909012522905048","0,937694704049844","0,532272325375774","43,3105642674982","18,0504919255808","27,6855595199116","276,230897009967","1130,8488372093",263,1111,292,1150,"0,682305349399316"
312,183,"54,2842712474619","0,803406305381018","0,938461538461538","0,67032967032967","20,1748068601217","12,0127093660007","15,2644304409478","274,562841530055","1314,27868852459",265,1309,286,1322,"0,780392217880231"
313,2623,"216,066017177982","0,527338981163781","0,905419399378668","0,733706293706294","63,6070766031206","54,044069919613","57,7902009499909","272,545558520778","642,927563858178",240,616,305,671,"0,706049616729323"
314,572,"112,811183182043","0,900432494923854","0,838709677419355","0,485568760611205","42,8039295296272","18,6195283913985","26,9869045944234","277,589160839161","857,043706293706",262,838,293,876,"0,564808968803288"
315,930,"127,740115370178","0,544029097607831","0,897683397683398","0,675872093023256","38,4428619542736","32,2561118922458","34,4109397808851","278,333333333333","950,449462365591",264,929,296,972,"0,716206411408266"
316,406,"83,8406204335659","0,8054293302948","0,933333333333333","0,6496","29,9826614732321","17,7704782072819","22,7362102198778","279,334975369458","557,564039408867",268,544,293,569,"0,725816656767271"
317,371,"93,1543289325507","0,826967165846201","0,829977628635347","0,610197368421053","30,5630797862529","17,1840982446115","21,7341176746779","282,312668463612","823,018867924528",268,815,300,834,"0,537251566456187"
318,546,"101,633513652379","0,842639523641515","0,890701468189233","0,67741935483871","36,6112528774388","19,7143568348121","26,366433043273","281,355311355311","196,512820512821",269,181,295,212,"0,664245508346071"
319,1080,"139,811183182043","0,630201689457557","0,901502504173623","0,694980694980695","43,1820543630957","33,5279060301402","37,0823233942262","280,382407407407","231,518518518518",261,212,298,254,"0,694304208034235"
320,1187,"172,202056147303","0,826533842393838","0,778871391076115","0,557800751879699","56,2021937983624","31,635485888507","38,8758966404717","288,604043807919","691,165964616681",266,672,322,710,"0,503018453243375"
321,185,"55,0416305603426","0,727263296234234","0,880952380952381","0,695488721804511","19,028608442475","13,0604486368354","15,3476159639211","282,443243243243","175,627027027027",273,169,292,183,"0,76735974082087"
322,1319,"180,888347648318","0,782414795561255","0,818746120422098","0,593342330184435","56,5007516215404","35,1862751693928","40,9805192683753","279,735405610311","455,479150871873",262,430,301,487,"0,506563012908731"
